link,tanggal
https://www.harapanrakyat.com/2023/03/dinkes-ciamis-ajak-masyarakat-update-aplikasi-peduli-lindungi-ke-satu-sehat-mobile/,2023-03-09
https://teknologi.bisnis.com/read/20230309/84/1635600/sertifikat-vaksin-anak-tak-muncul-di-satu-sehat-mobile-begini-caranya,2023-03-09
https://www.cnbcindonesia.com/tech/20230308113244-37-419869/aplikasi-satu-sehat-tak-bisa-dibuka-coba-2-cara-ini,2023-03-08
https://www.beritatrans.com/artikel/235695/Aplikasi-Satu-Sehat-Jadi-Syarat-Terbaru-Naik-Pesawat-dan-Kereta-Api/,2023-03-08
https://tekno.tempo.co/read/1700094/begini-cara-mengunduh-sertifikat-vaksin-di-aplikasi-satu-sehat-mobile,2023-03-08
https://indonesia.go.id/kategori/kesehatan/6916/tutorial-mengakses-aplikasi-satusehat?lang=1,2023-03-08
https://tekno.kompas.com/read/2023/03/08/12300067/mengapa-tidak-bisa-menambahkan-nik-di-profil-satu-sehat-,2023-03-08
https://www.cnbcindonesia.com/tech/20230308163645-37-420027/ini-cara-ubah-nomor-hp-di-aplikasi-satu-sehat-mobile,2023-03-08
https://tekno.kompas.com/read/2023/03/07/13150007/cara-mengatasi-aplikasi-satu-sehat-crash-di-hp-android-,2023-03-07
https://ekonomi.bisnis.com/read/20230307/98/1634872/satu-sehat-jadi-syarat-naik-pesawat-dan-kereta-api-terbaru-2023,2023-03-07
https://tekno.kompas.com/read/2023/03/07/11150097/satu-sehat-tidak-bisa-dibuka-hanya-menampilkan-logo-begini-2-cara-mengatasinya,2023-03-07
https://ekonomi.bisnis.com/read/20230307/98/1634864/satu-sehat-jadi-syarat-naik-pesawat-diakses-2-juta-orang-per-hari,2023-03-07
https://ekonomi.bisnis.com/read/20230306/98/1634184/jadi-syarat-naik-pesawat-maret-2023-simak-cara-update-pedulilindungi-jadi-satu-sehat,2023-03-06
https://ekonomi.bisnis.com/read/20230306/98/1634332/syarat-naik-pesawat-lebaran-2023-usai-ada-satu-sehat,2023-03-06
https://lifestyle.bisnis.com/read/20230306/106/1634334/cara-lihat-sertifikat-vaksin-di-aplikasi-satu-sehat,2023-03-06
https://ekonomi.bisnis.com/read/20230306/98/1634183/ingat-ini-syarat-terbaru-naik-pesawat-pakai-aplikasi-satu-sehat,2023-03-06
https://indonesiabaik.id/infografis/cara-cek-dan-download-sertifikat-vaksin-di-satusehat-mobile,2023-03-06
https://m.cyberthreat.id/read/15434/Seberapa-Aman-Aplikasi-Satu-Sehat-Kemenkes-Data-Rekam-Medis-Diakses-Atas-Seizin-Pasien,2023-03-06
https://tekno.kompas.com/read/2023/03/06/16150087/cara-mengubah-nomor-ponsel-di-satu-sehat-mobile,2023-03-06
